;0;1;2;3;4;5;6;7;8;9
0;-848.3887;239.25781;-236.8164;-274.41406;-444.82422;-929.93164;299.8047;-25.390625;928.71094;700.1953
1;807.6172;-670.89844;-841.06445;822.2656;-78.61328;41.992188;992.1875;133.78906;373.04688;-546.875
2;-534.66797;-790.16113;-909.60693;463.8672;-331.54297;-414.55078;110.35156;-542.7246;-568.6035;818.3594
3;902.34375;-149.41406;-961.4563;-431.15234;-824.21875;421.875;400.39062;171.875;62.5;-596.1914
4;948.2422;-538.81836;0.9765625;-775.63477;-49.316406;-942.29126;353.51562;-140.13672;-868.042;864.2578
5;-849.4873;-27.34375;663.08594;527.34375;824.21875;793.9453;-8.7890625;-622.80273;38.085938;553.71094
6;-957.7637;559.5703;39.0625;-443.35938;113.28125;-548.584;-987.6404;553.71094;-570.06836;591.7969
7;-604.24805;455.07812;253.90625;-524.41406;-580.32227;557.6172;363.28125;529.2969;841.7969;-458.0078
8;975.58594;957.03125;-368.65234;-792.96875;-856.9336;-66.40625;-595.21484;-941.58936;193.35938;-301.26953
9;750.97656;-707.2754;-423.33984;-921.2036;-504.39453;-923.52295;-367.1875;-715.33203;321.28906;224.60938
10;-998.6515;887.6953;-663.3301;-774.53613;314.45312;381.83594;106.44531;620.1172;-266.11328;844.72656
